STATE,COUNTY,PARKS,TIER_A_PARKS
FL,POLK,527,452
AZ,MARICOPA,439,428
FL,HILLSBOROUGH,521,299
FL,PASCO,307,265
SC,HORRY,245,244
SC,GREENVILLE,196,196
FL,VOLUSIA,196,186
FL,LEE,202,183
AL,BALDWIN,172,172
SC,LEXINGTON,166,166
FL,MARION,182,164
AZ,PINAL,161,146
SC,SPARTANBURG,143,143
FL,LAKE,158,142
NV,CLARK,142,141
AL,LEE,125,124
FL,MANATEE,128,122
FL,PINELLAS,272,114
SC,BERKELEY,104,104
SC,CHARLESTON,102,102
FL,ESCAMBIA,221,100
FL,SARASOTA,93,88
AZ,YAVAPAI,85,85
NV,WASHOE,82,82
FL,BAY,153,81
FL,BREVARD,152,80
TX,HARRIS,377,76
AZ,PIMA,286,75
ID,ADA,74,74
NC,HARNETT,71,71
TX,MONTGOMERY,71,71
AL,LIMESTONE,70,70
NC,BRUNSWICK,67,67
AL,MADISON,64,64
FL,OSCEOLA,72,61
FL,PALM BEACH,141,61
NC,WAKE,60,60
NC,JOHNSTON,59,59
FL,SUMTER,67,57
TN,SEVIER,57,57
FL,ORANGE,134,57
SC,YORK,55,55
AL,SHELBY,54,54
TX,DENTON,54,54
FL,DUVAL,127,54
FL,OKEECHOBEE,121,53
ID,KOOTENAI,50,50
FL,CHARLOTTE,52,50
FL,ST JOHNS,63,49
ID,CANYON,49,49
TX,JOHNSON,49,49
UT,SALT LAKE,49,49
FL,OKALOOSA,105,49
FL,BROWARD,124,49
FL,HIGHLANDS,118,45
AZ,YUMA,148,45
TN,KNOX,45,44
FL,HERNANDO,45,44
TX,HIDALGO,204,43
NC,MECKLENBURG,42,42
FL,MONROE,104,41
FL,CITRUS,102,39
FL,COLLIER,107,39
TX,FORT BEND,38,38
FL,LEON,68,37
TN,SUMNER,36,36
UT,UTAH,36,36
UT,WASHINGTON,36,36
TX,CAMERON,111,36
TX,DALLAS,123,35
NC,BUNCOMBE,164,34
TX,GUADALUPE,33,33
FL,SANTA ROSA,91,33
TX,TARRANT,116,33
MI,KENT,59,33
TN,HAMILTON,32,32
TX,EL PASO,109,32
NC,CABARRUS,31,31
TX,HAYS,31,31
SC,DORCHESTER,31,31
FL,JACKSON,88,31
TX,COMAL,30,30
FL,COLUMBIA,74,30
NC,CUMBERLAND,123,29
FL,PUTNAM,59,29
NC,PENDER,28,28
NC,IREDELL,27,27
FL,MIAMI-DADE,64,27
TX,PARKER,26,26
TN,MONTGOMERY,25,25
NC,CARTERET,86,25
TX,BEXAR,100,25
TN,RUTHERFORD,25,24
NC,ROBESON,119,24
FL,WALTON,61,24
SC,LANCASTER,23,23
TX,ELLIS,22,22
FL,INDIAN RIVER,50,22
FL,MARTIN,53,22
NC,ALAMANCE,104,22
