PropertyAddress,PropertyCity,PropertyState,PropertyZip,ParkName,ParkPhone,County,Lots,SizeBand,Score,Notes
1210 CALVARY ROAD,HOLIDAY,FL,34690,ANCLOTE ACRES L.L.C.,(727) 938-3869,PASCO,38,SMALL (<50),100,
677 TAMIAMI TRAIL N,NOKOMIS,FL,34275,ARISTOCRAT TRAILER PARK,(941) 488-7272,SARASOTA,25,SMALL (<50),100,
39444 DANCERS LANE,ZEPHYRHILLS,FL,33542,BAHR'S MOBILE HOME PARK,(813) 782-7201,PASCO,51,MEDIUM (51-100),100,
12701 SE SUNSET HARBOR ROAD,WEIRSDALE,FL,32195,BIG LAKE VILLAGE,(352) 434-7276,MARION,60,MEDIUM (51-100),100,
906 OHLINGER ROAD,BABSON PARK,FL,33827,BOB'S LANDING MHP & MARINA,(863) 638-1912,POLK,60,SMALL (<50),100,
2450 S RIDGEWOOD,EDGEWATER,FL,32141,CARTER'S MOBILE VILLAGE,(386) 428-8916,VOLUSIA,49,SMALL (<50),100,
950 SIDNEY STREET,ST AUGUSTINE,FL,32086,COQUINA OAK'S MOBILE HOME,(484) 716-9408,ST JOHNS,25,SMALL (<50),100,
419 SW PINE ISLAND ROAD,CAPE CORAL,FL,33991,CORALWOOD VILLAGE MHP,(239) 574-4945,LEE,53,MEDIUM (51-100),100,
6881 NE 2ND LOOP,OCALA,FL,34470,COUNTRY AIRE MOBILE HOME PARK,(352) 236-3378,MARION,25,SMALL (<50),100,
1311 NW 35TH STREET,OCALA,FL,34475,COUNTRY OAKS MOBILE HOME PARK,(954) 394-2766,MARION,27,SMALL (<50),100,
8 POWELL ROAD,WINTER HAVEN,FL,33880,CYPRESS ACRES MHP,(863) 291-0643,POLK,26,SMALL (<50),100,
140 W WALTS AVENUE,DELAND,FL,32720,DELAND MUNICIPAL TRAILER PARK,(386) 740-5800,VOLUSIA,48,SMALL (<50),100,
04056 PICCIOLA ROAD,FRUITLAND PARK,FL,34731,DUKE'S LANDING,(813) 770-4172,LAKE,58,SMALL (<50),100,
1520 PARSONS ROAD,KISSIMMEE,FL,34744,EL TONTERIA MOBILE COURT,(407) 319-2900,OSCEOLA,34,SMALL (<50),100,
250 MCCALL ROAD N,ENGLEWOOD,FL,34223,ENGLEWOOD GREENS MOBILE VILLAGE,(941) 474-1353,SARASOTA,30,SMALL (<50),100,
4500 PINE ISLAND ROAD NW,MATLACHA,FL,33993,FISHERMAN'S ADULT MOBILE HM PK,(239) 283-5141,LEE,40,SMALL (<50),100,
05101 EAGLES NEST ROAD,FRUITLAND PARK,FL,34731,FISHERMAN'S WHARF,(352) 360-0600,LAKE,59,MEDIUM (51-100),100,
375 WEST H STREET,FROSTPROOF,FL,33843,FROSTPROOF MOBILE VILLAGE,(863) 635-4800,POLK,29,SMALL (<50),100,
3103 9TH STREET W,BRADENTON,FL,34205,GAR FAIR TRAILER PARK,(941) 815-2844,MANATEE,54,MEDIUM (51-100),100,
1101 GOLDEN PARKWAY,ST CLOUD,FL,34769,GOLDEN GROVE MHP,(407) 957-7979,OSCEOLA,48,SMALL (<50),100,
1450 MADELINE AVENUE,DAYTONA BEACH,FL,32119,GRAY ACRES,(386) 760-3823,VOLUSIA,43,SMALL (<50),100,
4331 LAKE BUFFUM ROAD,LAKE WALES,FL,33859,GREEN ACRES MOBILE HOME PARK,(941) 429-0116,POLK,41,SMALL (<50),100,
10021 LYONS LANE,HUDSON,FL,34669,HICKS ROAD TRAILER PARK,(727) 992-2684,PASCO,27,SMALL (<50),100,
12301 CARL LOOP,DADE CITY,FL,33525,KEENE'S ADULT MOBILE HOME PARK,(352) 567-6079,PASCO,37,SMALL (<50),100,
120 DORA AVENUE,TAVARES,FL,32778,LAKE DORA TRAILER PARK,(970) 884-7150,LAKE,42,SMALL (<50),100,
249 LAKESIDE GARDEN CIRCLE,LAKE WALES,FL,33859,LAKESIDE GARDENS,(813) 949-4139,POLK,54,SMALL (<50),100,
5435 LEWELLYN ROAD,LAKELAND,FL,33810,"LAND SOUTH COUNTRY VILLAS, LLC",(863) 255-2941,POLK,45,SMALL (<50),100,
8535 MATHEWS ROAD,LAKELAND,FL,33801,LAND SOUTH OAK MEADOWS LLC,(863) 859-7942,POLK,52,SMALL (<50),100,
101 INGHAM ROAD,NEW SMYRNA BEACH,FL,32168,LUTZ TRAILER PARK,NOT AVAILABLE,VOLUSIA,34,SMALL (<50),100,
3608 14TH STREET W,BRADENTON,FL,34205,MARY ANN TRAILER PARK,(941) 773-4465,MANATEE,38,SMALL (<50),100,
1555 N TAMIAMI TRAIL,NORTH FORT MYERS,FL,33903,MERE'S MOBILE HOME PARK 3,(239) 707-3469,LEE,33,SMALL (<50),100,
660 HOOK STREET,CLERMONT,FL,34711,MINNEHAHA TRAILER PARK,(352) 394-4497,LAKE,45,SMALL (<50),100,
1630 NORTH CR 547,DAVENPORT,FL,33837,OAK HAVEN MHP,(813) 689-0569,POLK,28,SMALL (<50),100,
14236 MAX HOOKS ROAD 62,CLERMONT,FL,34711,OAK LANE MOBILE HOME PARK,(352) 243-7577,LAKE,60,MEDIUM (51-100),100,
3655 E JOHNSON AVENUE,HAINES CITY,FL,33844,OAK MEADOWS MH & RV PARK,(813) 267-2672,POLK,53,SMALL (<50),100,
18681 N HWY 441,REDDICK,FL,32686,PINE GROVE MOBILE HOME PARK,(352) 207-9741,MARION,30,SMALL (<50),100,
2245 NEW TAMPA HIGHWAY,LAKELAND,FL,33801,PINE GROVE MOBILE HOME PARK,(352) 207-9741,POLK,25,SMALL (<50),100,
2815 NW PINE AVENUE,OCALA,FL,34475,PINE MANOR EAST MOBILE HOME PARK,(352) 463-1890,MARION,52,MEDIUM (51-100),100,
6280 HAMILTON DRIVE 3,FORT MYERS,FL,33905,PINE NEEDLE PARK,(239) 694-3286,LEE,43,SMALL (<50),100,
1615 51ST AVENUE E,BRADENTON,FL,34203,PIONEER TRAILER PARK,(727) 386-6479,MANATEE,37,SMALL (<50),100,
285 LAKE AVENUE,FROSTPROOF,FL,33843,REEDY HAVEN TRAILER PARK,(863) 635-4783,POLK,36,SMALL (<50),100,
14417 US HIGHWAY 19,BAYONET POINT,FL,34667,SHADY ACRES MHP AND RV PARK,(727) 868-9589,PASCO,48,MEDIUM (51-100),100,
16901 SE HWY 301,SUMMERFIELD,FL,34491,SHADY ACRES MOBILE HOME PARK,(352) 445-1832,MARION,40,SMALL (<50),100,
5100 NW GAINESVILLE ROAD,OCALA,FL,34475,SHADY GROVE MOBILE HOME PARK,(352) 208-4814,MARION,28,SMALL (<50),100,
1215 US HIGHWAY 17 92 N,DAVENPORT,FL,33837,SHADY OAKS MOBILE HOME PARK,NOT AVAILABLE,POLK,30,SMALL (<50),100,
3245 E MAIN STREET,LAKELAND,FL,33801,SHADY OAKS MOBILE HOME PARK,NOT AVAILABLE,POLK,30,SMALL (<50),100,
37836 8TH AVENUE,ZEPHYRHILLS,FL,33542,SHADY REST MOBILE HOME PARK,(813) 782-3019,PASCO,60,SMALL (<50),100,
3200 NOVA ROAD S,DAYTONA BEACH,FL,32119,SHADY VILLAGE TRAILER PARK,(386) 760-3823,VOLUSIA,55,MEDIUM (51-100),100,
201 NE 68 COURT,OCALA,FL,34470,SILVERWOOD VILLAGE M H P,(352) 236-3378,MARION,25,SMALL (<50),100,
1269 RIVER ROAD,NORTH FORT MYERS,FL,33903,SOUTHWIND VILLAGE,(239) 995-8005,LEE,58,MEDIUM (51-100),100,
1425 RITTER ROAD,LAKELAND,FL,33810,SOUTHWINDS MOBILE HOME COURT,(863) 255-2941,POLK,35,SMALL (<50),100,
2504 SUNSET DRIVE,KISSIMMEE,FL,34741,SUN FRIENDLY COMMUNITY VILLAGE,(407) 574-7775,OSCEOLA,45,LARGE (>100),100,
6800 NW GAINESVILLE ROAD,OCALA,FL,34475,SUNNY OAKS MOBILE HOME PARK,(855) 862-8837,MARION,55,SMALL (<50),100,
32704 CANTWELL DRIVE,SAN ANTONIO,FL,33576,SUNNY SKIES MOBILE HOME PARK,(352) 942-3367,PASCO,50,SMALL (<50),100,
19241 SAN CARLOS BOULEVARD,FORT MYERS BEACH,FL,33931,"SUNNYLAND COURT, INC.",NOT AVAILABLE,LEE,31,SMALL (<50),100,
8086 HECK DRIVE,NORTH FORT MYERS,FL,33917,SUNSET ACRES,(239) 543-9990,LEE,25,SMALL (<50),100,
2350 US HIGHWAY 92 WEST,WINTER HAVEN,FL,33881,SUNSET COVE MHP,(863) 268-1111,POLK,31,SMALL (<50),100,
1000 S CLINCH LAKE BOULEVARD,FROSTPROOF,FL,33843,SUNSET SHORES CO-OP INC,(863) 635-2420,POLK,51,LARGE (>100),100,
2 MELODY CIRCLE,EUSTIS,FL,32726,SUNSET VILLAGE,(352) 343-1214,LAKE,36,SMALL (<50),100,
3520 E GASKIN ROAD,BARTOW,FL,33830,TERIO'S MOBILE HOME PARK,(863) 533-1253,POLK,40,SMALL (<50),100,
15007 OLD 441 HIGHWAY,TAVARES,FL,32778,THREE PALMS TRAILER PARK,NOT AVAILABLE,LAKE,32,SMALL (<50),100,
503 SHAWN AVENUE,WILDWOOD,FL,34785,WILDWOOD ACRES,(352) 748-0795,SUMTER,47,SMALL (<50),100,
3845 STATE ROAD 60 W,MULBERRY,FL,33860,WILLOW OAK II MHP,(863) 425-2281,POLK,26,SMALL (<50),100,
17881 N TAMIAMI TRAIL,NORTH FORT MYERS,FL,33903,WINTER DREAMS TRAILER PARK,(239) 731-5404,LEE,26,SMALL (<50),100,
573 LONG HOLLOW PIKE,GALLATIN,TN,37066,A & L MOBILE HOME VILLAGE,(615) 452-5104,SUMNER,,MEDIUM (51-100),98,unit count unknown
1105 ACRES OF SPACE DRIVE,KNIGHTDALE,NC,27545,ACRES OF SPACE MOBILE HOME,(919) 266-4389,WAKE,,MEDIUM (51-100),98,unit count unknown
1524 EAST BURT DRIVE,COLUMBIA,TN,38401,AMERICAN MOBILE VILLAGE,(931) 388-1485,MAURY,,MEDIUM (51-100),98,unit count unknown
1035 WEST MAIN STREET,MESA,AZ,85201,APACHE WEST MOBILE VILLAGE,(480) 969-7147,MARICOPA,,MEDIUM (51-100),98,unit count unknown
650 EDGEWOOD BOULEVARD,FRANKLIN,TN,37064,BATTLEFIELD TRAILER PARK,(615) 794-6416,WILLIAMSON,,MEDIUM (51-100),98,unit count unknown
3824 EAST PARADISE LANE,PHOENIX,AZ,85032,BELL ACRES MHP,(602) 971-2335,MARICOPA,,MEDIUM (51-100),98,unit count unknown
4435 US 321,GASTON,SC,29053,BIG COUNTRY MOBILE HOME PARK,NOT AVAILABLE,LEXINGTON,,MEDIUM (51-100),98,unit count unknown
1820 JUNGLE DEN ROAD,ASTOR,FL,32102,BLAIR'S JUNGLE DEN,(386) 749-2264,VOLUSIA,,MEDIUM (51-100),98,unit count unknown
9013 BONAPARTE DR SW,CALABASH,NC,28467,BONAPARTE'S RETREAT 1,NOT AVAILABLE,BRUNSWICK,,MEDIUM (51-100),98,unit count unknown
2004 HIGHWAY 15,MYRTLE BEACH,SC,29577,BONNIE'S TRAILER COURT,(803) 448-6905,HORRY,,MEDIUM (51-100),98,unit count unknown
2144 WEST BROADWAY ROAD,PHOENIX,AZ,85041,BROADWAY TRAILER COURT,(602) 268-4738,MARICOPA,,MEDIUM (51-100),98,unit count unknown
