STATE,PARKS,TIER_A_PARKS,AVG_SCORE
FL,5912,3559,76.3
SC,2419,1209,78.2
TX,3553,1140,73.5
NC,2932,898,74.3
AZ,1487,873,77.7
AL,2455,608,74.4
GA,1441,396,73.3
TN,1417,386,74.6
NV,430,287,79.6
ID,504,216,76.6
UT,335,153,76.8
MI,1095,52,58.0
IN,1070,24,58.3
AR,961,24,57.6
VA,1364,16,56.2
WI,951,14,57.6
OK,752,14,57.3
KY,881,11,56.7
MO,1017,9,56.8
OH,1329,7,56.7
LA,1776,0,55.9
PA,1590,0,55.9
NM,684,0,55.9
WY,382,0,56.5
MT,585,0,55.9
MS,857,0,55.5
ME,364,0,55.7
WV,711,0,55.5
SD,333,0,56.8
IA,465,0,56.3
KS,547,0,56.6
NE,286,0,55.5
NH,321,0,56.0
ND,295,0,55.4
CA,5070,0,35.0
NY,1606,0,35.8
IL,843,0,36.0
MN,624,0,34.6
VT,224,0,35.4
CO,757,0,34.4
WA,1297,0,35.3
MD,228,0,35.8
RI,52,0,35.6
OR,994,0,35.0
CT,112,0,35.3
NJ,218,0,34.9
DE,210,0,35.0
MA,211,0,34.9
AK,113,0,33.9
