NAME,ADDRESS,CITY,STATE,ZIP,TELEPHONE,TYPE,COUNTY,UNITS,SIZE,MARKET_SCORE,COUNTY_BONUS,SUBTO_SCORE,CASHFLOW_SCORE,TOTAL_SCORE,TIER,FLAGS
ANCLOTE ACRES L.L.C.,1210 CALVARY ROAD,HOLIDAY,FL,34690,(727) 938-3869,MOBILE HOME PARK,PASCO,38,SMALL (<50),40,15,30,15,100,A,
ARISTOCRAT TRAILER PARK,677 TAMIAMI TRAIL N,NOKOMIS,FL,34275,(941) 488-7272,MOBILE HOME PARK,SARASOTA,25,SMALL (<50),40,15,30,15,100,A,
BAHR'S MOBILE HOME PARK,39444 DANCERS LANE,ZEPHYRHILLS,FL,33542,(813) 782-7201,MOBILE HOME PARK,PASCO,51,MEDIUM (51-100),40,15,30,15,100,A,
BIG LAKE VILLAGE,12701 SE SUNSET HARBOR ROAD,WEIRSDALE,FL,32195,(352) 434-7276,MOBILE HOME PARK,MARION,60,MEDIUM (51-100),40,15,30,15,100,A,
BOB'S LANDING MHP & MARINA,906 OHLINGER ROAD,BABSON PARK,FL,33827,(863) 638-1912,MOBILE HOME PARK,POLK,60,SMALL (<50),40,15,30,15,100,A,
CARTER'S MOBILE VILLAGE,2450 S RIDGEWOOD,EDGEWATER,FL,32141,(386) 428-8916,MOBILE HOME PARK,VOLUSIA,49,SMALL (<50),40,15,30,15,100,A,
COQUINA OAK'S MOBILE HOME,950 SIDNEY STREET,ST AUGUSTINE,FL,32086,(484) 716-9408,MOBILE HOME PARK,ST JOHNS,25,SMALL (<50),40,15,30,15,100,A,
CORALWOOD VILLAGE MHP,419 SW PINE ISLAND ROAD,CAPE CORAL,FL,33991,(239) 574-4945,MOBILE HOME PARK,LEE,53,MEDIUM (51-100),40,15,30,15,100,A,
COUNTRY AIRE MOBILE HOME PARK,6881 NE 2ND LOOP,OCALA,FL,34470,(352) 236-3378,MOBILE HOME PARK,MARION,25,SMALL (<50),40,15,30,15,100,A,
COUNTRY OAKS MOBILE HOME PARK,1311 NW 35TH STREET,OCALA,FL,34475,(954) 394-2766,MOBILE HOME PARK,MARION,27,SMALL (<50),40,15,30,15,100,A,
