NAME,ADDRESS,CITY,STATE,ZIP,TELEPHONE,COUNTY,UNITS,SIZE,TOTAL_SCORE,OWNER_NAME,OWNER_MAIL_ADDR,OWNER_MAIL_CITY,OWNER_MAIL_STATE,OWNER_MAIL_ZIP,PARCEL_ID,LAST_SALE_YR,LAST_SALE_PRICE,JUST_VALUE,TENURE_YRS,OWNER_TYPE,ABSENTEE,STATUS,LOOKUP_URL
ANCLOTE ACRES L.L.C.,1210 CALVARY ROAD,HOLIDAY,FL,34690,(727) 938-3869,PASCO,38,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=PASCO+county+FL+property+search+ANCLOTE+ACRES+L.L.C.+HOLIDAY
ARISTOCRAT TRAILER PARK,677 TAMIAMI TRAIL N,NOKOMIS,FL,34275,(941) 488-7272,SARASOTA,25,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=SARASOTA+county+FL+property+search+ARISTOCRAT+TRAILER+PARK+NOKOMIS
BAHR'S MOBILE HOME PARK,39444 DANCERS LANE,ZEPHYRHILLS,FL,33542,(813) 782-7201,PASCO,51,MEDIUM (51-100),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=PASCO+county+FL+property+search+BAHR%27S+MOBILE+HOME+PARK+ZEPHYRHILLS
BIG LAKE VILLAGE,12701 SE SUNSET HARBOR ROAD,WEIRSDALE,FL,32195,(352) 434-7276,MARION,60,MEDIUM (51-100),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=MARION+county+FL+property+search+BIG+LAKE+VILLAGE+WEIRSDALE
BOB'S LANDING MHP & MARINA,906 OHLINGER ROAD,BABSON PARK,FL,33827,(863) 638-1912,POLK,60,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=POLK+county+FL+property+search+BOB%27S+LANDING+MHP+%26+MARINA+BABSON+PARK
CARTER'S MOBILE VILLAGE,2450 S RIDGEWOOD,EDGEWATER,FL,32141,(386) 428-8916,VOLUSIA,49,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=VOLUSIA+county+FL+property+search+CARTER%27S+MOBILE+VILLAGE+EDGEWATER
COQUINA OAK'S MOBILE HOME,950 SIDNEY STREET,ST AUGUSTINE,FL,32086,(484) 716-9408,ST JOHNS,25,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=ST+JOHNS+county+FL+property+search+COQUINA+OAK%27S+MOBILE+HOME+ST+AUGUSTINE
CORALWOOD VILLAGE MHP,419 SW PINE ISLAND ROAD,CAPE CORAL,FL,33991,(239) 574-4945,LEE,53,MEDIUM (51-100),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=LEE+county+FL+property+search+CORALWOOD+VILLAGE+MHP+CAPE+CORAL
COUNTRY AIRE MOBILE HOME PARK,6881 NE 2ND LOOP,OCALA,FL,34470,(352) 236-3378,MARION,25,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=MARION+county+FL+property+search+COUNTRY+AIRE+MOBILE+HOME+PARK+OCALA
COUNTRY OAKS MOBILE HOME PARK,1311 NW 35TH STREET,OCALA,FL,34475,(954) 394-2766,MARION,27,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=MARION+county+FL+property+search+COUNTRY+OAKS+MOBILE+HOME+PARK+OCALA
CYPRESS ACRES MHP,8 POWELL ROAD,WINTER HAVEN,FL,33880,(863) 291-0643,POLK,26,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=POLK+county+FL+property+search+CYPRESS+ACRES+MHP+WINTER+HAVEN
DELAND MUNICIPAL TRAILER PARK,140 W WALTS AVENUE,DELAND,FL,32720,(386) 740-5800,VOLUSIA,48,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=VOLUSIA+county+FL+property+search+DELAND+MUNICIPAL+TRAILER+PARK+DELAND
DUKE'S LANDING,04056 PICCIOLA ROAD,FRUITLAND PARK,FL,34731,(813) 770-4172,LAKE,58,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=LAKE+county+FL+property+search+DUKE%27S+LANDING+FRUITLAND+PARK
EL TONTERIA MOBILE COURT,1520 PARSONS ROAD,KISSIMMEE,FL,34744,(407) 319-2900,OSCEOLA,34,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=OSCEOLA+county+FL+property+search+EL+TONTERIA+MOBILE+COURT+KISSIMMEE
ENGLEWOOD GREENS MOBILE VILLAGE,250 MCCALL ROAD N,ENGLEWOOD,FL,34223,(941) 474-1353,SARASOTA,30,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=SARASOTA+county+FL+property+search+ENGLEWOOD+GREENS+MOBILE+VILLAGE+ENGLEWOOD
FISHERMAN'S ADULT MOBILE HM PK,4500 PINE ISLAND ROAD NW,MATLACHA,FL,33993,(239) 283-5141,LEE,40,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=LEE+county+FL+property+search+FISHERMAN%27S+ADULT+MOBILE+HM+PK+MATLACHA
FISHERMAN'S WHARF,05101 EAGLES NEST ROAD,FRUITLAND PARK,FL,34731,(352) 360-0600,LAKE,59,MEDIUM (51-100),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=LAKE+county+FL+property+search+FISHERMAN%27S+WHARF+FRUITLAND+PARK
FROSTPROOF MOBILE VILLAGE,375 WEST H STREET,FROSTPROOF,FL,33843,(863) 635-4800,POLK,29,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=POLK+county+FL+property+search+FROSTPROOF+MOBILE+VILLAGE+FROSTPROOF
GAR FAIR TRAILER PARK,3103 9TH STREET W,BRADENTON,FL,34205,(941) 815-2844,MANATEE,54,MEDIUM (51-100),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=MANATEE+county+FL+property+search+GAR+FAIR+TRAILER+PARK+BRADENTON
GOLDEN GROVE MHP,1101 GOLDEN PARKWAY,ST CLOUD,FL,34769,(407) 957-7979,OSCEOLA,48,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=OSCEOLA+county+FL+property+search+GOLDEN+GROVE+MHP+ST+CLOUD
GRAY ACRES,1450 MADELINE AVENUE,DAYTONA BEACH,FL,32119,(386) 760-3823,VOLUSIA,43,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=VOLUSIA+county+FL+property+search+GRAY+ACRES+DAYTONA+BEACH
GREEN ACRES MOBILE HOME PARK,4331 LAKE BUFFUM ROAD,LAKE WALES,FL,33859,(941) 429-0116,POLK,41,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=POLK+county+FL+property+search+GREEN+ACRES+MOBILE+HOME+PARK+LAKE+WALES
HICKS ROAD TRAILER PARK,10021 LYONS LANE,HUDSON,FL,34669,(727) 992-2684,PASCO,27,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=PASCO+county+FL+property+search+HICKS+ROAD+TRAILER+PARK+HUDSON
KEENE'S ADULT MOBILE HOME PARK,12301 CARL LOOP,DADE CITY,FL,33525,(352) 567-6079,PASCO,37,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=PASCO+county+FL+property+search+KEENE%27S+ADULT+MOBILE+HOME+PARK+DADE+CITY
LAKE DORA TRAILER PARK,120 DORA AVENUE,TAVARES,FL,32778,(970) 884-7150,LAKE,42,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=LAKE+county+FL+property+search+LAKE+DORA+TRAILER+PARK+TAVARES
LAKESIDE GARDENS,249 LAKESIDE GARDEN CIRCLE,LAKE WALES,FL,33859,(813) 949-4139,POLK,54,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=POLK+county+FL+property+search+LAKESIDE+GARDENS+LAKE+WALES
"LAND SOUTH COUNTRY VILLAS, LLC",5435 LEWELLYN ROAD,LAKELAND,FL,33810,(863) 255-2941,POLK,45,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=POLK+county+FL+property+search+LAND+SOUTH+COUNTRY+VILLAS%2C+LLC+LAKELAND
LAND SOUTH OAK MEADOWS LLC,8535 MATHEWS ROAD,LAKELAND,FL,33801,(863) 859-7942,POLK,52,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=POLK+county+FL+property+search+LAND+SOUTH+OAK+MEADOWS+LLC+LAKELAND
LUTZ TRAILER PARK,101 INGHAM ROAD,NEW SMYRNA BEACH,FL,32168,NOT AVAILABLE,VOLUSIA,34,SMALL (<50),100,,,,,,,,,,,,,needs manual lookup,https://www.google.com/search?q=VOLUSIA+county+FL+property+search+LUTZ+TRAILER+PARK+NEW+SMYRNA+BEACH
